path,category,type,bytes,lines,source_control,role
.env,Project governance and root configuration,no extension,143,withheld,Local/generated/untracked,"Local secret-bearing environment configuration; presence only, contents withheld."
.env.example,Project governance and root configuration,example,5068,148,Tracked,Environment-variable template without credential values.
.env.local,Project governance and root configuration,local,1292,withheld,Local/generated/untracked,"Local secret-bearing environment configuration; presence only, contents withheld."
.gitignore,Project governance and root configuration,no extension,695,60,Tracked,Source-control exclusion rules.
AGENTS.md,Project governance and root configuration,md,12594,610,Tracked,"Repository operating, quality, security, testing, and delivery instructions."
CLAUDE.md,Project governance and root configuration,md,8062,147,Tracked,Additional repository development guidance.
docker-compose.yml,Project governance and root configuration,yml,989,34,Tracked,Local multi-container frontend/backend orchestration.
LICENSE,Project governance and root configuration,no extension,1093,21,Tracked,Software license terms.
package-lock.json,Project governance and root configuration,json,296536,8175,Tracked,Workspace JavaScript scripts/dependency manifest or exact lockfile.
package.json,Project governance and root configuration,json,421,15,Tracked,Workspace JavaScript scripts/dependency manifest or exact lockfile.
README.md,Project governance and root configuration,md,11341,275,Tracked,"Top-level project overview, setup, architecture, and usage guide."
frontend/.codex-dev.err.log,Frontend application,log,0,,Local/generated/untracked,Project file (log): .codex dev.err.
frontend/.codex-dev.out.log,Frontend application,log,0,,Local/generated/untracked,Project file (log): .codex dev.out.
frontend/.env.example,Frontend application,example,102,2,Tracked,Environment-variable template without credential values.
frontend/.eslintrc.json,Frontend application,json,24,3,Tracked,Project file (json): .eslintrc.
frontend/.gitignore,Frontend application,no extension,80,9,Tracked,Source-control exclusion rules.
frontend/app/about/page.tsx,Frontend application,tsx,5699,124,Tracked,Next.js App Router page for /about.
frontend/app/dashboard/page.tsx,Frontend application,tsx,922,31,Tracked,Next.js App Router page for /dashboard.
frontend/app/features/page.tsx,Frontend application,tsx,6593,138,Tracked,Next.js App Router page for /features.
frontend/app/globals.css,Frontend application,css,2063,70,Tracked,"Global frontend design tokens, layout, and component styling."
frontend/app/icon.svg,Frontend application,svg,429,6,Tracked,Project file (svg): icon.
frontend/app/layout.tsx,Frontend application,tsx,776,23,Tracked,Global Next.js application layout and metadata.
frontend/app/login/page.tsx,Frontend application,tsx,3818,100,Tracked,Next.js App Router page for /login.
frontend/app/page.tsx,Frontend application,tsx,13332,256,Tracked,Next.js App Router page for /.
frontend/app/signup/page.tsx,Frontend application,tsx,5946,146,Tracked,Next.js App Router page for /signup.
frontend/components/dashboard/AgentTracePanel.tsx,Frontend application,tsx,2913,63,Tracked,Dashboard user-interface component: AgentTracePanel.
frontend/components/dashboard/CertificateCard.tsx,Frontend application,tsx,3865,80,Tracked,Dashboard user-interface component: CertificateCard.
frontend/components/dashboard/Composer.tsx,Frontend application,tsx,2189,64,Tracked,Dashboard user-interface component: Composer.
frontend/components/dashboard/ConversationThread.tsx,Frontend application,tsx,2195,56,Tracked,Dashboard user-interface component: ConversationThread.
frontend/components/dashboard/DashboardApp.tsx,Frontend application,tsx,80288,1746,Tracked,Dashboard user-interface component: DashboardApp.
frontend/components/dashboard/GlassCard.tsx,Frontend application,tsx,495,10,Tracked,Dashboard user-interface component: GlassCard.
frontend/components/dashboard/HeroUpload.tsx,Frontend application,tsx,6701,154,Tracked,Dashboard user-interface component: HeroUpload.
frontend/components/dashboard/KpiCard.tsx,Frontend application,tsx,2234,59,Tracked,Dashboard user-interface component: KpiCard.
frontend/components/dashboard/ProvenanceReceipt.tsx,Frontend application,tsx,1918,45,Tracked,Dashboard user-interface component: ProvenanceReceipt.
frontend/components/dashboard/QualityDoctorPanel.tsx,Frontend application,tsx,3807,92,Tracked,Dashboard user-interface component: QualityDoctorPanel.
frontend/components/dashboard/RootCausePanel.tsx,Frontend application,tsx,6351,136,Tracked,Dashboard user-interface component: RootCausePanel.
frontend/components/dashboard/VerificationPanel.tsx,Frontend application,tsx,4257,102,Tracked,Dashboard user-interface component: VerificationPanel.
frontend/components/dashboard/WhatIfPanel.tsx,Frontend application,tsx,5274,112,Tracked,Dashboard user-interface component: WhatIfPanel.
frontend/components/DropZone.tsx,Frontend application,tsx,6194,169,Tracked,Project file (tsx): DropZone.
frontend/components/site/AuthShell.tsx,Frontend application,tsx,3182,71,Tracked,Public/authentication site component: AuthShell.
frontend/components/site/MarketingShell.tsx,Frontend application,tsx,484,14,Tracked,Public/authentication site component: MarketingShell.
frontend/components/site/SiteFooter.tsx,Frontend application,tsx,2889,58,Tracked,Public/authentication site component: SiteFooter.
frontend/components/site/SiteHeader.tsx,Frontend application,tsx,5583,147,Tracked,Public/authentication site component: SiteHeader.
frontend/components/ThinkingTrace.tsx,Frontend application,tsx,4638,132,Tracked,Project file (tsx): ThinkingTrace.
frontend/Dockerfile,Frontend application,no extension,744,36,Tracked,Container build definition for frontend.
frontend/eslint.config.mjs,Frontend application,mjs,314,11,Tracked,Project file (mjs): eslint.config.
frontend/hooks/use-mobile.ts,Frontend application,ts,629,20,Tracked,Reusable React hook: use mobile.
frontend/lib/apiConfig.ts,Frontend application,ts,1182,32,Tracked,Frontend client utility or contract: apiConfig.
frontend/lib/auth.tsx,Frontend application,tsx,6404,197,Tracked,Frontend client utility or contract: auth.
frontend/lib/dashboard-format.ts,Frontend application,ts,481,10,Tracked,Frontend client utility or contract: dashboard format.
frontend/lib/dataverse-api.contract.ts,Frontend application,ts,685,24,Tracked,Frontend client utility or contract: dataverse api.contract.
frontend/lib/dataverse-api.ts,Frontend application,ts,24067,796,Tracked,Frontend client utility or contract: dataverse api.
frontend/lib/utils.ts,Frontend application,ts,166,6,Tracked,Frontend client utility or contract: utils.
frontend/lib/verified-report.ts,Frontend application,ts,6245,108,Tracked,Frontend client utility or contract: verified report.
frontend/metadata.json,Frontend application,json,139,6,Tracked,Project file (json): metadata.
frontend/next-env.d.ts,Frontend application,ts,262,6,Tracked,Project file (ts): next env.d.
frontend/next.config.ts,Frontend application,ts,1188,49,Tracked,Project file (ts): next.config.
frontend/package-lock.json,Frontend application,json,293995,8096,Tracked,Frontend JavaScript scripts/dependency manifest or exact lockfile.
frontend/package.json,Frontend application,json,1066,42,Tracked,Frontend JavaScript scripts/dependency manifest or exact lockfile.
frontend/postcss.config.mjs,Frontend application,mjs,168,9,Tracked,Project file (mjs): postcss.config.
frontend/scripts/api-client.test.mjs,Frontend application,mjs,3375,81,Tracked,Frontend development or contract-test script: api client.test.
frontend/scripts/dev.mjs,Frontend application,mjs,9767,306,Tracked,Frontend development or contract-test script: dev.
frontend/scripts/dev.test.mjs,Frontend application,mjs,3514,99,Tracked,Frontend development or contract-test script: dev.test.
frontend/tsconfig.json,Frontend application,json,618,28,Tracked,Project file (json): tsconfig.
frontend/tsconfig.tsbuildinfo,Frontend application,tsbuildinfo,96250,,Local/generated/untracked,Project file (tsbuildinfo): tsconfig.
dataverse_backend/.dockerignore,Backend API and application,no extension,182,,Tracked,Project file (no extension): .dockerignore.
dataverse_backend/.env,Backend API and application,no extension,1704,withheld,Local/generated/untracked,"Local secret-bearing environment configuration; presence only, contents withheld."
dataverse_backend/.env.example,Backend API and application,example,1408,54,Tracked,Environment-variable template without credential values.
